Country,Id,Income status1,Population size2,Plastic waste generation [tonnes]3,PlasticWasteShare,Solid waste generation [tonnes]1,"% Plastic in solid waste1,4",Per capita plastic waste generation [kg/year]3,% Inadequately managed waste5,% Littered waste6,% Mismanaged waste3,2016 Mismanaged plastic waste [tonnes]3,Notes on United States estimates,,,,,,,,,,,
United States,840,HIC,323071342,42027215.12,18.17355743,320818436,13.1,130.0864845,0,2,2,840544.3023,Using refined estimate of solid waste generation and % plastic,,,,,,,,,,,
India,356,LMC,1324509589,26327932.64,11.38481801,277136133,9.5,19.87749493,77,2,79,20799066.78,,,,,,,,,,,,
China,156,UMC,1378665000,21599465.19,9.340117349,220402706,9.8,15.66694243,23.25,2,25.25,5453864.96,,,,,,,,,,,,
Brazil,76,UMC,206163058,10675989.14,4.616549089,79081401,13.5,51.78420052,23.20932,2,25.20932,2691344.264,,,,,,,,,,,,
Indonesia,360,LMC,261554226,9128000,3.947162137,65200000,14,34.8990729,58.5,2,60.5,5522440,,,,,,,,,,,,
Russian Federation,643,UMC,144342396,8467156.248,3.661397737,59585899,14.21,58.66021684,95.5,2,97.5,8255477.342,,,,,,,,,,,,
Germany,276,HIC,82348669,6683412.19,2.890064805,51410863,13,81.15992974,2.02,2,4.02,268673.17,,,,,,,,,,,,
United Kingdom,#N/A,HIC,65595565,6471649.942,2.798493823,32037871,20.2,98.6598704,2.572,2,4.572,295883.8353,,,,,,,,,,,,
Mexico,484,UMC,123333376,5902490.283,2.552375784,54151287,10.9,47.85801277,21,2,23,1357572.765,,,,,,,,,,,,
Japan,392,HIC,126994511,4881160.79,2.110728862,44374189,11,38.43599815,13.3,2,15.3,746817.6009,,,,,,,,,,,,
Thailand,764,UMC,68971331,4796494.322,2.074117088,27268302,17.59,69.5433052,60.25,2,62.25,2985817.715,,,,,,,,,,,,
"Korea, Rep.",#N/A,HIC,51245707,4514186.214,1.952040414,18576898,24.3,88.08906108,0,2,2,90283.72428,,,,,,,,,,,,
Italy,380,HIC,60627498,3365130.072,1.455161482,29009742,11.6,55.50501312,11.02,2,13.02,438139.9354,,,,,,,,,,,,
"Egypt, Arab Rep.",#N/A,LMC,94447072,3037674.77,1.313562099,23366729,13,32.16272041,87.5,2,89.5,2718718.919,,,,,,,,,,,,
France,250,HIC,66859768,2929042.26,1.266586843,32544914,9,43.80874101,0.02,2,2.02,59166.65365,,,,,,,,,,,,
Pakistan,586,LMC,203627284,2731768.29,1.181280933,30352981,9,13.41553173,70,2,72,1966873.169,,,,,,,,,,,,
Argentina,32,HIC,43590368,2656770.937,1.148850312,18184606,14.61,60.94857783,22.6,2,24.6,653565.6504,,,,,,,,,,,,
Algeria,12,UMC,40551404,2092007.06,0.904633113,12378740,16.9,51.58901675,0,2,2,41840.1412,,,,,,,,,,,,
Malaysia,458,UMC,30684804,2058501.3,0.890144434,13723342,15,67.08536577,17.875,2,19.875,409127.1334,,,,,,,,,,,,
Spain,724,HIC,46483569,1832533.47,0.792430623,20361483,9,39.42325233,0,2,2,36650.6694,,,,,,,,,,,,
Saudi Arabia,682,HIC,32442572,1810101.04,0.782730312,16455464,11,55.79400548,0,2,2,36202.0208,,,,,,,,,,,,
Colombia,170,UMC,48171392,1728873.42,0.747605577,13475241,12.83,35.89004487,4,2,6,103732.4052,,,,,,,,,,,,
